"Time","Events","ExG97","ExG98","ExG99","ExG100","ExG101","ExG102","ExG103","ExG104","ExG105","ExG106","ExG107","ExG108","ExG109","ExG110","ExG111","ExG112"
0:18:04.753,,406.672,981.133,106.632,-322.327,239.223,-300.582,-191.042,236.615,-427.076,-334.649,-298.801,651.607,-344.059,348.662,-433.778,-318.279
0:18:04.753,,413.215,997.103,108.303,-327.580,243.153,-305.411,-194.177,240.405,-433.953,-339.994,-303.599,662.198,-349.747,354.374,-440.851,-323.491
0:18:04.754,,388.360,856.798,53.819,-290.339,194.919,-237.075,-207.124,172.926,-390.660,-323.043,-234.158,654.873,-333.194,320.514,-323.567,-303.030
0:18:04.754,,376.051,825.786,49.811,-280.295,187.128,-227.163,-201.741,164.900,-377.453,-312.972,-224.280,635.677,-322.848,309.753,-308.955,-293.378
0:18:04.755,,371.175,601.863,-37.679,-248.759,133.483,-107.022,-206.247,62.010,-303.287,-287.755,-165.492,657.054,-267.644,236.287,-137.663,-300.271
0:18:04.755,,358.782,578.113,-40.047,-237.909,128.833,-95.526,-198.298,56.858,-291.527,-280.845,-160.657,638.529,-258.004,225.452,-129.031,-294.720
0:18:04.756,,348.483,557.598,-37.929,-230.991,125.592,-94.177,-193.111,53.780,-280.983,-271.388,-154.569,620.880,-249.406,218.638,-125.893,-286.558
0:18:04.756,,336.363,541.137,-37.863,-226.371,122.814,-89.073,-187.603,50.153,-272.803,-262.463,-149.791,601.772,-239.673,211.335,-121.564,-276.438
0:18:04.757,,325.633,525.077,-34.950,-217.737,118.300,-86.515,-181.150,50.160,-263.963,-256.029,-144.818,584.339,-233.503,205.462,-120.944,-269.327
0:18:04.757,,315.598,508.307,-34.781,-210.989,115.488,-85.336,-174.263,50.246,-256.283,-245.167,-140.285,565.257,-226.702,198.189,-116.480,-262.761
0:18:04.758,,304.983,493.588,-34.349,-204.607,110.946,-81.974,-168.609,46.388,-247.091,-238.651,-136.567,550.220,-219.915,192.254,-112.192,-254.300
0:18:04.758,,293.983,478.840,-31.317,-199.428,107.919,-78.203,-161.694,46.901,-240.392,-231.754,-131.325,531.599,-216.760,187.094,-107.865,-247.680
0:18:04.759,,288.895,464.789,-29.037,-193.823,106.578,-76.137,-158.561,48.192,-234.337,-224.392,-128.632,517.383,-211.563,177.951,-107.164,-240.076
0:18:04.759,,281.125,450.918,-29.373,-186.660,105.572,-72.065,-150.706,45.756,-226.871,-218.361,-125.859,500.205,-205.965,171.052,-104.674,-234.007
0:18:04.760,,271.281,435.516,-27.997,-180.177,102.996,-69.754,-146.418,44.515,-219.744,-210.897,-121.428,483.421,-197.194,166.374,-101.700,-228.778
0:18:04.760,,265.318,420.082,-27.010,-174.014,98.960,-69.783,-140.561,43.296,-211.901,-205.403,-117.305,469.979,-192.291,161.540,-100.217,-220.642
0:18:04.761,,255.178,409.800,-27.445,-168.026,93.105,-69.151,-136.536,42.266,-207.024,-200.377,-112.532,456.394,-186.088,158.046,-93.658,-214.021
0:18:04.761,,247.879,397.718,-25.790,-164.208,89.597,-66.450,-134.921,40.764,-199.599,-193.001,-108.922,442.583,-180.465,155.104,-92.382,-208.032
0:18:04.762,,240.647,387.143,-26.384,-159.696,87.419,-63.972,-132.526,39.454,-195.266,-186.632,-104.737,431.046,-174.740,148.921,-89.986,-200.630
